repo_name,repo_url,primary_language,readme_exists,licence,contributing_guide,has_security_scanning_in_ci,has_tests_in_ci,dependency_update_policy,last_commit_date,days_since_last_commit,maintained,open_issues_count,bilingual,readme_clarity,security_policy,issue_response_quality,release_notes_quality,standards_met,compliance_status,gaps
Azure_LZBCA-AIZDB,https://github.com/canada-ca/Azure_LZBCA-AIZDB,PowerShell,Yes,MIT,Yes,No CI,No CI,None,2020-08-27,2146,No,0,Yes,Good,Missing,No Issues,No Releases,3,Partial,Security policy;Actively maintained
CATS-STAE,https://github.com/canada-ca/CATS-STAE,Shell,Yes,Unknown,Yes,No CI,No CI,None,2024-03-27,838,No,19,Yes,Good,Missing,Stale,No Releases,2,Partial,Open licence;Security policy;Actively maintained
CommunicatingPublicEngagement,https://github.com/canada-ca/CommunicatingPublicEngagement,Unknown,Yes,Unknown,No,No CI,No CI,None,2018-04-30,2996,No,0,No,Poor,Missing,No Issues,No Releases,0,Non-compliant,Bilingual README;Open licence;Security policy;Contributing guide;Actively maintained
GC_Data_Ecosystem,https://github.com/canada-ca/GC_Data_Ecosystem,Unknown,Yes,MIT,No,No CI,No CI,None,2021-08-31,1777,No,0,No,Fair,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
GC_Data_Ecosystem-GCPedia-Generator,https://github.com/canada-ca/GC_Data_Ecosystem-GCPedia-Generator,Python,Yes,Apache-2.0,No,No CI,No CI,None,2021-08-30,1778,No,0,No,Fair,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
GC_Reference_Architecture,https://github.com/canada-ca/GC_Reference_Architecture,Unknown,No,Unknown,No,No CI,No CI,None,2019-07-10,2560,No,0,Unknown,Poor,Missing,No Issues,No Releases,0,Non-compliant,Bilingual README;Open licence;Security policy;Contributing guide;Actively maintained
HC-Technology-and-Business-Innovation_Innovations-Technologiques-et-d-Affaires-SC,https://github.com/canada-ca/HC-Technology-and-Business-Innovation_Innovations-Technologiques-et-d-Affaires-SC,Unknown,Yes,MIT,No,No CI,No CI,None,2018-03-06,3051,No,1,No,Fair,Missing,Stale,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
Libraries-bibliotheque,https://github.com/canada-ca/Libraries-bibliotheque,Unknown,Yes,Unknown,No,No CI,No CI,None,2017-07-12,3288,No,0,Yes,Poor,Missing,No Issues,No Releases,1,Non-compliant,Open licence;Security policy;Contributing guide;Actively maintained
NextGen-HR-Pay,https://github.com/canada-ca/NextGen-HR-Pay,Unknown,Yes,MIT,No,No CI,No CI,None,2018-10-15,2828,No,0,No,Poor,Missing,No Issues,No Releases,1,Non-compliant,Bilingual README;Security policy;Contributing guide;Actively maintained
OS-Advisory_Conseil-SO,https://github.com/canada-ca/OS-Advisory_Conseil-SO,JavaScript,Yes,Apache-2.0,No,No CI,No CI,Automated,2020-06-10,2224,No,33,Yes,Good,Missing,Stale,No Releases,2,Partial,Security policy;Contributing guide;Actively maintained
